species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
Gentoo,Dream,47.37964726781101,19.38751458524116,206.51283207816473,4244.676413169356,male,2009
Gentoo,Biscoe,60.150113962011204,16.912581761375517,226.34575092626662,4653.000030061095,male,2008
Chinstrap,Biscoe,31.897882596244575,16.186353109915174,195.47709034833392,2142.1549052478085,female,2008
Gentoo,Biscoe,55.4833662535217,15.660956286869272,229.7360481018973,5354.455034041429,male,2009
Gentoo,Dream,50.61660258761882,17.585720907645197,201.59640012318775,2264.5069129126487,female,2009
Gentoo,Biscoe,39.289948549278044,16.533361780764753,206.58261108714174,2133.1056137114524,female,2008
Gentoo,Biscoe,46.3998458593053,15.757963591810332,217.66193690140187,6651.526637524107,male,2007
Adelie,Dream,36.87003624241872,20.983878361180494,180.9084311140332,3377.6285233196136,female,2008
Gentoo,Dream,39.42370896818588,21.286179458408387,201.2070386307479,5359.281673357386,female,2008
Chinstrap,Dream,43.69061036727691,17.08616958566683,212.65878832992323,3793.3707344970326,male,2007
Adelie,Torgersen,46.067283476704866,16.97811544139768,187.99324571375115,4980.108735687071,female,2007
Gentoo,Dream,59.9468011664566,20.649310291435853,169.195469429237,4809.344635456053,female,2009
Adelie,Dream,52.645677560042095,15.146166687331505,181.15831852763935,3663.3230420483483,female,2007
Gentoo,Biscoe,49.58052685202187,14.019308396600715,209.38957839273456,5354.398719653312,female,2007
Gentoo,Dream,52.81654421174588,19.36729344576278,187.51723572408324,4572.552383501523,male,2007
Adelie,Biscoe,49.41639372254989,16.350131833283925,221.2341738611806,4760.2068922850085,male,2008
Gentoo,Biscoe,36.8342392840699,12.192419875441296,235.6060133090693,5370.370622915955,female,2008
Adelie,Dream,43.271171050280586,22.88464912247525,160.7791602565705,3903.3011202210714,female,2007
Adelie,Dream,56.855784751867986,19.33987199047051,182.9892238067186,3402.859487669521,male,2007
Gentoo,Torgersen,49.07283445979574,18.645410739883868,182.27348263316614,3508.5077906768593,male,2008
Gentoo,Torgersen,50.62641962287969,21.74427673168289,185.2836625036234,4951.195932183474,male,2009
Gentoo,Biscoe,44.07140231191385,18.383858724187615,216.01187537178927,4698.375302519496,female,2008
Adelie,Biscoe,49.76745165875201,18.547889145391157,189.95130352537254,4482.9473160111065,male,2008
Gentoo,Dream,34.816483824029326,17.7676087493086,201.42609032868157,4563.003940007794,male,2009
